"Time","{application=""FEEDSERVICE"", method=""GET"", uri=""/feeds/{userId}""}","{application=""GATEWAY"", method=""GET"", uri=""UNKNOWN""}","{application=""GATEWAY"", method=""POST"", uri=""UNKNOWN""}","{application=""GATEWAY"", method=""PUT"", uri=""NOT_FOUND""}","{application=""GATEWAY"", method=""PUT"", uri=""UNKNOWN""}","{application=""NOTIFICATIONSERVICE"", method=""GET"", uri=""/notifications""}","{application=""NOTIFICATIONSERVICE"", method=""POST"", uri=""/notifications/count""}","{application=""NOTIFICATIONSERVICE"", method=""POST"", uri=""/notifications/{id}""}","{application=""POSTSERVICE"", method=""GET"", uri=""/categories""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts/{id}""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts/{id}/image""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts/{id}/comments""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts/{id}/like""}","{application=""USERSERVICE"", method=""GET"", uri=""/users/{id}""}","{application=""USERSERVICE"", method=""GET"", uri=""/users/{id}/followers""}","{application=""USERSERVICE"", method=""POST"", uri=""/error""}","{application=""USERSERVICE"", method=""POST"", uri=""/users""}","{application=""USERSERVICE"", method=""POST"", uri=""/users/search""}","{application=""USERSERVICE"", method=""PUT"", uri=""/error""}","{application=""USERSERVICE"", method=""PUT"", uri=""/users/{id}""}","{application=""USERSERVICE"", method=""PUT"", uri=""/users/{id}/follow""}"
2024-08-10 17:28:20,22.8 ms,20.3 ms,36.5 ms,10.4 ms,34.4 ms,7.23 ms,6.53 ms,23.9 ms,4.66 ms,6.73 ms,5.36 ms,13.9 ms,102 ms,52.1 ms,32.7 ms,7.97 ms,21.0 ms,NaN,25.7 ms,10.3 ms,NaN,34.7 ms,28.8 ms
2024-08-10 17:28:25,22.5 ms,20.2 ms,36.2 ms,10.4 ms,32.9 ms,7.28 ms,6.33 ms,24.6 ms,4.60 ms,6.67 ms,5.23 ms,13.8 ms,99.8 ms,51.1 ms,32.2 ms,7.57 ms,24.1 ms,NaN,26.6 ms,9.72 ms,NaN,34.1 ms,28.9 ms
2024-08-10 17:28:30,22.7 ms,20.2 ms,36.3 ms,10.4 ms,33.0 ms,7.28 ms,6.37 ms,24.6 ms,4.62 ms,6.68 ms,5.24 ms,13.8 ms,99.7 ms,51.3 ms,32.2 ms,7.25 ms,27.3 ms,NaN,25.2 ms,9.07 ms,NaN,32.3 ms,27.6 ms
2024-08-10 17:28:35,22.7 ms,20.6 ms,35.7 ms,10.4 ms,31.1 ms,7.15 ms,6.36 ms,24.0 ms,4.52 ms,6.58 ms,5.16 ms,12.1 ms,98.0 ms,50.9 ms,31.8 ms,7.26 ms,27.3 ms,NaN,25.3 ms,9.05 ms,NaN,32.2 ms,27.6 ms
2024-08-10 17:28:40,23.2 ms,20.5 ms,35.0 ms,10.4 ms,29.8 ms,6.91 ms,6.27 ms,23.3 ms,4.87 ms,7.86 ms,5.89 ms,12.7 ms,96.5 ms,50.5 ms,32.1 ms,7.00 ms,27.9 ms,NaN,24.4 ms,8.75 ms,NaN,30.4 ms,26.3 ms
2024-08-10 17:28:45,23.3 ms,20.5 ms,35.0 ms,10.4 ms,29.8 ms,6.91 ms,6.29 ms,23.3 ms,4.91 ms,8.05 ms,6.01 ms,12.8 ms,96.2 ms,50.7 ms,32.1 ms,6.64 ms,27.4 ms,10.4 ms,23.2 ms,8.45 ms,3.97 ms,29.3 ms,25.2 ms
2024-08-10 17:28:50,23.4 ms,20.2 ms,34.3 ms,10.4 ms,28.7 ms,6.87 ms,6.12 ms,22.6 ms,4.88 ms,8.17 ms,6.11 ms,12.5 ms,94.3 ms,50.2 ms,31.7 ms,6.64 ms,27.4 ms,10.4 ms,23.2 ms,8.43 ms,3.97 ms,29.2 ms,25.2 ms
2024-08-10 17:28:55,22.7 ms,19.8 ms,33.9 ms,10.4 ms,27.9 ms,6.38 ms,6.06 ms,21.5 ms,4.94 ms,7.76 ms,6.17 ms,12.7 ms,94.0 ms,48.6 ms,30.9 ms,6.45 ms,25.6 ms,10.4 ms,22.5 ms,8.37 ms,3.97 ms,28.0 ms,23.4 ms
2024-08-10 17:29:00,22.5 ms,19.8 ms,33.9 ms,10.4 ms,27.9 ms,6.40 ms,6.08 ms,21.6 ms,4.98 ms,7.85 ms,6.26 ms,12.7 ms,93.8 ms,48.7 ms,30.9 ms,6.21 ms,24.3 ms,10.4 ms,22.2 ms,8.11 ms,3.97 ms,27.0 ms,22.8 ms
2024-08-10 17:29:05,22.5 ms,19.6 ms,33.9 ms,10.4 ms,27.8 ms,6.31 ms,5.88 ms,20.9 ms,4.95 ms,7.85 ms,6.57 ms,12.5 ms,91.9 ms,47.8 ms,30.9 ms,6.21 ms,24.3 ms,10.4 ms,22.2 ms,8.10 ms,3.97 ms,27.0 ms,22.8 ms
2024-08-10 17:29:10,22.1 ms,19.4 ms,34.1 ms,10.4 ms,28.4 ms,6.16 ms,5.81 ms,20.1 ms,4.85 ms,7.74 ms,6.37 ms,12.4 ms,91.7 ms,48.9 ms,31.3 ms,6.06 ms,23.5 ms,10.4 ms,22.9 ms,8.58 ms,3.97 ms,25.7 ms,22.9 ms
2024-08-10 17:29:15,21.9 ms,19.4 ms,34.2 ms,10.4 ms,28.4 ms,6.17 ms,5.82 ms,20.1 ms,4.88 ms,7.79 ms,6.41 ms,12.4 ms,91.6 ms,48.9 ms,31.3 ms,6.14 ms,22.8 ms,10.4 ms,22.9 ms,9.17 ms,3.97 ms,25.7 ms,23.1 ms
2024-08-10 17:29:20,22.8 ms,19.3 ms,33.8 ms,9.89 ms,28.3 ms,6.10 ms,5.66 ms,19.8 ms,4.86 ms,7.78 ms,6.41 ms,12.2 ms,90.9 ms,47.8 ms,31.3 ms,6.18 ms,22.7 ms,10.4 ms,23.0 ms,9.27 ms,3.97 ms,25.7 ms,23.1 ms
2024-08-10 17:29:25,23.8 ms,19.3 ms,33.7 ms,9.89 ms,28.2 ms,5.99 ms,5.57 ms,19.3 ms,4.79 ms,7.62 ms,6.28 ms,12.3 ms,89.4 ms,47.9 ms,31.6 ms,6.21 ms,22.4 ms,10.4 ms,22.6 ms,10.3 ms,3.97 ms,25.0 ms,22.9 ms
2024-08-10 17:29:30,23.8 ms,19.3 ms,33.7 ms,9.89 ms,28.2 ms,6.00 ms,5.58 ms,19.4 ms,4.81 ms,7.66 ms,6.31 ms,12.3 ms,89.3 ms,47.9 ms,31.6 ms,6.06 ms,21.5 ms,10.4 ms,21.9 ms,10.7 ms,3.97 ms,25.0 ms,22.8 ms
2024-08-10 17:29:35,23.7 ms,19.1 ms,33.3 ms,9.89 ms,28.0 ms,5.90 ms,5.49 ms,19.1 ms,4.91 ms,7.68 ms,6.32 ms,12.1 ms,87.9 ms,48.5 ms,31.3 ms,6.09 ms,21.5 ms,10.4 ms,21.9 ms,10.9 ms,3.97 ms,24.9 ms,22.8 ms
2024-08-10 17:29:40,23.6 ms,18.9 ms,32.7 ms,9.89 ms,27.7 ms,5.80 ms,5.43 ms,18.7 ms,4.85 ms,7.57 ms,6.16 ms,12.2 ms,87.0 ms,47.9 ms,30.9 ms,6.00 ms,21.3 ms,10.4 ms,21.3 ms,10.5 ms,3.97 ms,25.0 ms,22.5 ms
2024-08-10 17:29:45,23.5 ms,18.9 ms,32.7 ms,9.89 ms,27.7 ms,5.81 ms,5.44 ms,18.7 ms,4.86 ms,7.59 ms,6.17 ms,12.2 ms,86.9 ms,47.8 ms,30.9 ms,5.97 ms,21.0 ms,10.4 ms,20.9 ms,10.5 ms,3.97 ms,24.7 ms,22.3 ms
2024-08-10 17:29:50,23.4 ms,18.8 ms,32.4 ms,9.89 ms,27.3 ms,5.76 ms,5.38 ms,18.7 ms,4.87 ms,7.66 ms,6.21 ms,12.2 ms,86.4 ms,47.7 ms,30.9 ms,5.99 ms,21.0 ms,10.4 ms,20.9 ms,10.6 ms,3.97 ms,24.6 ms,22.3 ms
2024-08-10 17:29:55,23.4 ms,18.6 ms,32.1 ms,9.89 ms,27.2 ms,5.68 ms,5.35 ms,18.4 ms,4.85 ms,7.52 ms,6.12 ms,12.2 ms,84.4 ms,48.2 ms,30.3 ms,5.90 ms,20.5 ms,10.4 ms,21.5 ms,10.2 ms,3.97 ms,24.4 ms,22.1 ms
2024-08-10 17:30:00,23.4 ms,18.6 ms,32.1 ms,9.89 ms,27.2 ms,5.68 ms,5.36 ms,18.4 ms,4.86 ms,7.54 ms,6.13 ms,12.2 ms,84.3 ms,48.1 ms,30.3 ms,5.89 ms,20.1 ms,8.67 ms,21.3 ms,9.97 ms,3.97 ms,24.4 ms,22.1 ms
2024-08-10 17:30:05,23.4 ms,18.6 ms,31.9 ms,9.89 ms,27.1 ms,5.63 ms,5.28 ms,18.4 ms,4.86 ms,7.53 ms,6.14 ms,12.1 ms,83.6 ms,47.8 ms,30.2 ms,5.90 ms,20.0 ms,8.67 ms,21.4 ms,10.0 ms,3.97 ms,24.4 ms,22.2 ms
2024-08-10 17:30:10,23.2 ms,18.3 ms,31.6 ms,9.89 ms,26.8 ms,5.57 ms,5.25 ms,18.4 ms,4.82 ms,7.51 ms,6.03 ms,12.0 ms,82.4 ms,47.6 ms,29.7 ms,5.86 ms,19.5 ms,8.67 ms,20.8 ms,9.93 ms,3.97 ms,23.8 ms,21.8 ms
2024-08-10 17:30:15,23.1 ms,18.3 ms,31.6 ms,9.89 ms,26.8 ms,5.57 ms,5.26 ms,18.4 ms,4.83 ms,7.52 ms,6.04 ms,12.1 ms,82.3 ms,47.6 ms,29.7 ms,5.79 ms,19.2 ms,8.67 ms,20.5 ms,9.96 ms,3.97 ms,23.8 ms,21.6 ms
2024-08-10 17:30:20,22.7 ms,18.3 ms,31.2 ms,9.89 ms,26.4 ms,5.54 ms,5.21 ms,18.3 ms,4.81 ms,7.54 ms,6.05 ms,11.9 ms,81.3 ms,47.4 ms,29.5 ms,5.81 ms,19.2 ms,8.67 ms,20.6 ms,10.00 ms,3.97 ms,23.7 ms,21.7 ms
2024-08-10 17:30:25,23.5 ms,18.5 ms,30.9 ms,9.89 ms,26.2 ms,5.50 ms,5.21 ms,18.1 ms,4.85 ms,7.55 ms,5.99 ms,12.0 ms,80.9 ms,46.7 ms,29.1 ms,5.71 ms,18.7 ms,8.67 ms,20.3 ms,10.1 ms,3.97 ms,23.1 ms,21.5 ms
2024-08-10 17:30:30,23.6 ms,18.5 ms,30.9 ms,9.89 ms,26.2 ms,5.50 ms,5.21 ms,18.1 ms,4.86 ms,7.56 ms,5.99 ms,12.0 ms,80.9 ms,46.7 ms,29.1 ms,5.67 ms,18.4 ms,8.67 ms,20.2 ms,10.1 ms,3.97 ms,23.0 ms,21.3 ms
2024-08-10 17:30:35,23.6 ms,18.4 ms,30.5 ms,9.89 ms,25.9 ms,5.47 ms,5.17 ms,17.9 ms,4.85 ms,7.61 ms,6.01 ms,11.9 ms,79.8 ms,46.4 ms,28.9 ms,5.68 ms,18.4 ms,8.67 ms,20.2 ms,10.2 ms,3.97 ms,23.0 ms,21.3 ms
2024-08-10 17:30:40,23.6 ms,18.3 ms,30.2 ms,9.89 ms,25.7 ms,5.45 ms,5.15 ms,17.7 ms,4.81 ms,7.59 ms,5.93 ms,11.9 ms,79.9 ms,46.1 ms,28.6 ms,5.69 ms,17.9 ms,8.67 ms,19.8 ms,10.0 ms,3.97 ms,22.9 ms,21.1 ms
2024-08-10 17:30:45,23.6 ms,18.3 ms,30.3 ms,9.89 ms,25.7 ms,5.46 ms,5.16 ms,17.7 ms,4.82 ms,7.60 ms,5.93 ms,11.9 ms,79.8 ms,46.1 ms,28.6 ms,5.63 ms,17.5 ms,8.67 ms,19.6 ms,10.1 ms,3.97 ms,22.7 ms,21.0 ms
2024-08-10 17:30:50,23.6 ms,18.2 ms,30.2 ms,9.89 ms,25.4 ms,5.42 ms,5.12 ms,17.7 ms,4.82 ms,7.56 ms,5.93 ms,11.9 ms,79.7 ms,46.2 ms,28.6 ms,5.63 ms,17.5 ms,8.67 ms,19.6 ms,10.1 ms,3.97 ms,22.7 ms,21.0 ms
2024-08-10 17:30:55,23.4 ms,18.1 ms,30.1 ms,9.89 ms,25.2 ms,5.37 ms,5.10 ms,17.4 ms,4.79 ms,7.57 ms,5.87 ms,11.9 ms,79.3 ms,46.5 ms,28.5 ms,5.61 ms,17.3 ms,8.67 ms,19.4 ms,10.4 ms,7.24 ms,22.3 ms,21.1 ms
2024-08-10 17:31:00,23.4 ms,18.1 ms,30.1 ms,9.89 ms,25.2 ms,5.37 ms,5.10 ms,17.4 ms,4.79 ms,7.58 ms,5.87 ms,12.0 ms,79.3 ms,46.4 ms,28.5 ms,5.59 ms,17.2 ms,8.67 ms,19.3 ms,10.5 ms,7.41 ms,22.2 ms,21.0 ms
2024-08-10 17:31:05,23.4 ms,18.0 ms,30.0 ms,9.89 ms,25.0 ms,5.36 ms,5.07 ms,17.8 ms,4.79 ms,7.59 ms,5.87 ms,11.9 ms,78.7 ms,46.4 ms,28.7 ms,5.59 ms,17.1 ms,8.67 ms,19.3 ms,10.5 ms,7.45 ms,22.2 ms,21.0 ms
2024-08-10 17:31:10,23.4 ms,17.9 ms,30.0 ms,9.89 ms,24.9 ms,5.32 ms,5.05 ms,18.1 ms,4.76 ms,7.57 ms,5.89 ms,11.9 ms,79.5 ms,46.0 ms,28.7 ms,5.57 ms,17.0 ms,8.67 ms,19.2 ms,10.4 ms,7.23 ms,22.2 ms,20.9 ms
2024-08-10 17:31:15,23.4 ms,17.9 ms,30.0 ms,9.89 ms,24.9 ms,5.32 ms,5.05 ms,18.1 ms,4.76 ms,7.58 ms,5.89 ms,11.9 ms,79.5 ms,46.0 ms,28.7 ms,5.54 ms,16.9 ms,8.67 ms,19.1 ms,10.4 ms,7.38 ms,22.1 ms,20.9 ms
2024-08-10 17:31:20,23.3 ms,17.8 ms,29.8 ms,9.89 ms,24.9 ms,5.28 ms,5.02 ms,18.0 ms,4.76 ms,7.57 ms,5.88 ms,11.8 ms,78.6 ms,45.6 ms,28.7 ms,5.54 ms,16.9 ms,8.67 ms,19.1 ms,10.4 ms,7.41 ms,22.1 ms,20.9 ms
2024-08-10 17:31:25,23.3 ms,17.7 ms,29.6 ms,9.89 ms,24.8 ms,5.22 ms,5.00 ms,18.0 ms,4.73 ms,7.56 ms,5.83 ms,11.8 ms,78.2 ms,45.3 ms,28.5 ms,5.59 ms,16.7 ms,8.67 ms,19.0 ms,10.5 ms,7.23 ms,21.8 ms,20.9 ms
2024-08-10 17:31:30,23.3 ms,17.7 ms,29.7 ms,9.89 ms,24.8 ms,5.23 ms,5.00 ms,18.0 ms,4.73 ms,7.56 ms,5.83 ms,11.8 ms,78.1 ms,45.3 ms,28.5 ms,5.58 ms,16.7 ms,8.67 ms,18.8 ms,10.5 ms,7.36 ms,21.7 ms,20.8 ms
2024-08-10 17:31:35,23.3 ms,17.7 ms,29.6 ms,9.89 ms,24.6 ms,5.20 ms,4.97 ms,17.9 ms,4.72 ms,7.61 ms,5.83 ms,11.8 ms,77.7 ms,45.1 ms,28.4 ms,5.58 ms,16.7 ms,8.67 ms,18.8 ms,10.5 ms,7.39 ms,21.7 ms,20.8 ms
2024-08-10 17:31:40,23.2 ms,17.7 ms,29.4 ms,9.89 ms,24.4 ms,5.19 ms,4.95 ms,17.7 ms,4.71 ms,7.59 ms,5.78 ms,11.9 ms,77.3 ms,44.7 ms,28.3 ms,5.56 ms,16.7 ms,8.67 ms,18.7 ms,10.7 ms,7.22 ms,21.7 ms,20.6 ms
2024-08-10 17:31:45,23.2 ms,17.7 ms,29.4 ms,9.89 ms,24.4 ms,5.19 ms,4.95 ms,17.7 ms,4.72 ms,7.59 ms,5.78 ms,11.9 ms,77.2 ms,44.6 ms,28.3 ms,5.54 ms,16.5 ms,8.67 ms,18.6 ms,10.7 ms,7.35 ms,21.8 ms,20.6 ms
2024-08-10 17:31:50,23.2 ms,17.6 ms,29.3 ms,9.89 ms,24.3 ms,5.17 ms,4.93 ms,17.8 ms,4.70 ms,7.58 ms,5.79 ms,11.9 ms,76.9 ms,44.4 ms,28.1 ms,5.54 ms,16.4 ms,8.67 ms,18.6 ms,10.7 ms,7.37 ms,21.8 ms,20.6 ms
2024-08-10 17:31:55,23.2 ms,17.6 ms,29.2 ms,9.89 ms,24.3 ms,5.14 ms,4.92 ms,17.8 ms,4.67 ms,7.51 ms,5.76 ms,11.9 ms,75.8 ms,44.2 ms,27.9 ms,5.51 ms,16.4 ms,8.67 ms,18.7 ms,10.9 ms,8.52 ms,21.9 ms,20.5 ms
2024-08-10 17:32:00,23.3 ms,17.9 ms,29.3 ms,9.89 ms,24.3 ms,5.14 ms,4.92 ms,17.8 ms,4.67 ms,7.51 ms,5.76 ms,11.9 ms,75.8 ms,44.2 ms,27.9 ms,5.49 ms,16.3 ms,9.61 ms,18.4 ms,10.9 ms,8.63 ms,21.8 ms,20.5 ms
2024-08-10 17:32:05,23.2 ms,17.7 ms,28.9 ms,9.89 ms,24.2 ms,5.19 ms,4.96 ms,17.6 ms,4.66 ms,7.57 ms,5.74 ms,11.9 ms,75.5 ms,44.1 ms,27.8 ms,5.49 ms,16.3 ms,9.64 ms,18.4 ms,10.8 ms,8.65 ms,21.8 ms,20.5 ms
2024-08-10 17:32:10,23.1 ms,17.4 ms,29.1 ms,9.89 ms,24.2 ms,5.19 ms,5.01 ms,17.4 ms,4.63 ms,7.53 ms,5.69 ms,12.0 ms,74.8 ms,44.2 ms,27.7 ms,5.45 ms,16.0 ms,9.65 ms,18.3 ms,10.8 ms,7.73 ms,21.7 ms,20.5 ms
2024-08-10 17:32:15,23.1 ms,17.4 ms,29.1 ms,9.89 ms,24.1 ms,5.19 ms,5.01 ms,17.4 ms,4.63 ms,7.54 ms,5.70 ms,12.0 ms,74.8 ms,44.2 ms,27.7 ms,5.30 ms,15.9 ms,9.59 ms,17.4 ms,10.7 ms,7.82 ms,21.6 ms,20.2 ms
2024-08-10 17:32:20,23.0 ms,17.4 ms,28.9 ms,9.42 ms,23.7 ms,5.10 ms,4.96 ms,17.0 ms,4.60 ms,7.53 ms,5.69 ms,11.9 ms,75.1 ms,44.0 ms,27.6 ms,5.30 ms,15.9 ms,9.62 ms,17.4 ms,10.7 ms,7.85 ms,21.6 ms,20.2 ms
2024-08-10 17:32:25,23.2 ms,17.3 ms,28.6 ms,9.42 ms,23.5 ms,5.03 ms,4.91 ms,16.7 ms,4.57 ms,7.59 ms,5.64 ms,12.0 ms,75.0 ms,44.4 ms,27.2 ms,5.28 ms,15.9 ms,9.66 ms,17.1 ms,10.8 ms,8.92 ms,21.0 ms,20.2 ms
2024-08-10 17:32:30,23.4 ms,17.3 ms,28.6 ms,9.42 ms,23.5 ms,5.03 ms,4.91 ms,16.7 ms,4.57 ms,7.60 ms,5.65 ms,12.0 ms,75.0 ms,44.4 ms,27.2 ms,5.29 ms,15.9 ms,7.20 ms,17.1 ms,10.8 ms,7.95 ms,20.7 ms,20.0 ms
2024-08-10 17:32:35,23.4 ms,17.3 ms,28.0 ms,9.42 ms,23.2 ms,5.03 ms,4.78 ms,16.2 ms,4.59 ms,7.62 ms,5.65 ms,12.0 ms,73.2 ms,44.2 ms,26.8 ms,5.30 ms,15.9 ms,7.22 ms,17.1 ms,10.8 ms,7.95 ms,20.7 ms,20.1 ms
2024-08-10 17:32:40,23.5 ms,17.2 ms,27.5 ms,9.43 ms,22.7 ms,5.01 ms,4.68 ms,15.7 ms,4.58 ms,7.65 ms,5.60 ms,12.1 ms,72.1 ms,43.8 ms,26.3 ms,5.15 ms,15.8 ms,7.24 ms,16.7 ms,10.8 ms,7.83 ms,20.2 ms,19.6 ms
2024-08-10 17:32:45,23.4 ms,17.2 ms,27.5 ms,9.43 ms,22.7 ms,5.01 ms,4.68 ms,15.7 ms,4.58 ms,7.66 ms,5.61 ms,12.1 ms,72.1 ms,43.8 ms,26.3 ms,5.05 ms,15.5 ms,6.46 ms,16.2 ms,10.9 ms,7.95 ms,19.7 ms,19.2 ms
2024-08-10 17:32:50,23.5 ms,17.0 ms,27.1 ms,9.43 ms,22.2 ms,4.90 ms,4.57 ms,15.5 ms,4.49 ms,7.60 ms,5.59 ms,11.5 ms,70.1 ms,42.3 ms,26.2 ms,5.06 ms,15.5 ms,6.46 ms,16.2 ms,10.9 ms,7.95 ms,19.7 ms,19.2 ms
2024-08-10 17:32:55,23.0 ms,16.8 ms,26.8 ms,9.43 ms,21.9 ms,4.76 ms,4.52 ms,15.3 ms,4.45 ms,7.60 ms,5.52 ms,11.6 ms,68.7 ms,41.5 ms,26.1 ms,4.92 ms,14.8 ms,6.45 ms,16.2 ms,10.9 ms,7.84 ms,19.1 ms,19.0 ms
2024-08-10 17:33:00,23.1 ms,16.8 ms,26.8 ms,9.43 ms,21.9 ms,4.76 ms,4.52 ms,15.3 ms,4.46 ms,7.61 ms,5.53 ms,11.6 ms,68.7 ms,41.5 ms,26.1 ms,4.88 ms,14.5 ms,6.46 ms,16.0 ms,10.9 ms,7.95 ms,18.8 ms,18.7 ms
2024-08-10 17:33:05,23.1 ms,16.7 ms,26.7 ms,9.43 ms,21.5 ms,4.74 ms,4.45 ms,15.2 ms,4.46 ms,7.59 ms,5.53 ms,11.6 ms,67.4 ms,41.4 ms,26.1 ms,4.89 ms,14.5 ms,6.46 ms,16.1 ms,11.0 ms,7.96 ms,18.9 ms,18.8 ms
2024-08-10 17:33:10,23.2 ms,16.6 ms,26.4 ms,9.43 ms,21.5 ms,4.65 ms,4.43 ms,14.6 ms,4.43 ms,7.62 ms,5.54 ms,11.6 ms,68.3 ms,40.9 ms,25.9 ms,4.88 ms,13.6 ms,6.45 ms,15.6 ms,11.1 ms,8.34 ms,18.4 ms,18.5 ms
2024-08-10 17:33:15,23.2 ms,16.6 ms,26.4 ms,9.43 ms,21.5 ms,4.65 ms,4.43 ms,14.6 ms,4.41 ms,7.63 ms,5.54 ms,11.7 ms,68.1 ms,40.9 ms,25.9 ms,4.89 ms,12.8 ms,6.46 ms,15.6 ms,11.3 ms,8.43 ms,18.4 ms,18.5 ms
2024-08-10 17:33:20,23.1 ms,16.6 ms,26.2 ms,9.43 ms,21.6 ms,4.64 ms,4.36 ms,14.5 ms,4.42 ms,7.61 ms,5.53 ms,11.6 ms,67.6 ms,40.9 ms,25.9 ms,4.89 ms,12.8 ms,6.46 ms,15.7 ms,11.3 ms,8.44 ms,18.5 ms,18.6 ms
2024-08-10 17:33:25,23.2 ms,16.5 ms,26.4 ms,9.43 ms,21.7 ms,4.62 ms,4.34 ms,14.7 ms,4.34 ms,7.38 ms,5.34 ms,11.6 ms,66.5 ms,41.0 ms,26.0 ms,4.89 ms,12.2 ms,6.46 ms,16.2 ms,11.5 ms,8.24 ms,18.4 ms,18.7 ms
